reviewid,customerid,productid,reviewdate,year_month,rating,reviewtext,vader_score,sentiment_category,productname,brand,category,price
710,463,3,2023-12-18,2023-12,3,Not bad but not great either. Fits okay.,-0.2883,Neutral,Men Pure Cotton Jeans,Roadster,Denim & Jeans,974.0
711,159,43,2024-12-08,2024-12,5,Perfect fit. The material feels premium.,0.7351,Positive,Men Mid-Rise Stretchable Jeans,MASTERLY WEFT,Stretchable Jeans,959.0
712,254,16,2024-10-12,2024-10,1,The jeans are too tight at the waist. Sizing is off.,0.0,Mixed Negative,Men Relaxed Fit Jeans,Flying Machine,Relaxed Fit Jeans,2309.0
713,51,15,2024-02-28,2024-02,4,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Mid-Rise Boot Cut Jeans,Bene Kleed,Denim & Jeans,873.0
714,411,44,2023-05-11,2023-05,5,Amazing quality! Totally worth the price.,0.7419,Positive,Men Baggy Loose Jeans,glitchez,Relaxed Fit Jeans,747.0
715,432,12,2023-11-28,2023-11,5,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Relaxed Fit Jeans,styzon,Relaxed Fit Jeans,989.0
716,472,43,2024-12-29,2024-12,4,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Mid-Rise Stretchable Jeans,MASTERLY WEFT,Stretchable Jeans,959.0
717,352,33,2024-05-16,2024-05,5,Loved the fabric and the fit. Will buy again.,0.7506,Positive,Men Straight Fit Jeans,glitchez,Regular Fit Jeans,797.0
718,465,26,2024-03-09,2024-03,4,Fast delivery and great packaging.,0.6249,Positive,Men Slim Fit Mid-Rise Jeans,The Indian Garage Co,Slim Fit Jeans,659.0
719,57,45,2024-04-24,2024-04,5,Perfect fit. The material feels premium.,0.7351,Positive,Men Wide Leg Cotton Jeans,HIGHLANDER,Wide Leg & Bootcut,1099.0
720,213,36,2024-03-07,2024-03,4,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Straight Fit Jeans,Bene Kleed,Regular Fit Jeans,989.0
721,479,48,2024-03-06,2024-03,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Bootcut Jeans,HERE&NOW,Wide Leg & Bootcut,869.0
722,452,24,2024-08-05,2024-08,3,Okay product. Expected more based on the description.,0.2263,Neutral,Men Slim Fit Jeans,Urbano Fashion,Slim Fit Jeans,629.0
723,107,38,2023-08-13,2023-08,4,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Bootcut Jeans,Urbano Fashion,Wide Leg & Bootcut,944.0
724,477,5,2024-01-16,2024-01,4,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men 511 Slim Fit Jeans,Levis,Slim Fit Jeans,1478.0
725,66,6,2024-08-30,2024-08,5,Great value for money. Highly recommend.,0.8516,Positive,Men Stretchable Jeans,HERE&NOW,Stretchable Jeans,798.0
726,286,49,2023-11-16,2023-11,5,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Non Stretchable Cotton Jeans,Flying Machine,Stretchable Jeans,1829.0
727,247,37,2024-06-22,2024-06,5,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Straight Fit Jeans,V-Mart,Regular Fit Jeans,809.0
728,44,37,2023-07-22,2023-07,5,Perfect fit. The material feels premium.,0.7351,Positive,Men Straight Fit Jeans,V-Mart,Regular Fit Jeans,809.0
729,27,17,2024-10-04,2024-10,4,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Low-Rise Jeans,Kotty,Denim & Jeans,519.0
730,93,49,2023-07-07,2023-07,5,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Non Stretchable Cotton Jeans,Flying Machine,Stretchable Jeans,1829.0
731,121,1,2023-05-17,2023-05,4,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Loose Fit Cotton Jeans,WROGN,Relaxed Fit Jeans,1374.0
732,57,32,2023-01-11,2023-01,5,Loved the fabric and the fit. Will buy again.,0.7506,Positive,Men Relaxed Fit Jeans,The Indian Garage Co,Relaxed Fit Jeans,808.0
733,442,28,2024-05-29,2024-05,4,Fast delivery and great packaging.,0.6249,Positive,Men Straight Fit Jeans,Mast & Harbour,Regular Fit Jeans,764.0
734,116,25,2023-12-21,2023-12,3,Decent product but could be better for the price.,0.5927,Neutral,Men Relaxed Fit Jeans,FUGAZEE,Relaxed Fit Jeans,2099.0
735,179,27,2023-07-13,2023-07,1,Size runs small. Return process is very difficult.,-0.4201,Negative,Men Slim Fit Jeans,French Connection,Slim Fit Jeans,1294.0
736,375,19,2024-09-27,2024-09,4,Great value for money. Highly recommend.,0.8516,Positive,Men Straight Fit Jeans,Kotty,Regular Fit Jeans,719.0
737,410,20,2023-01-02,2023-01,3,Material is fine but the colour is slightly different.,0.1027,Neutral,Men Bootcut Jeans,Mast & Harbour,Wide Leg & Bootcut,869.0
738,105,2,2024-04-25,2024-04,5,Amazing quality! Totally worth the price.,0.7419,Positive,Men Slim Fit Jeans,Flying Machine,Slim Fit Jeans,1829.0
739,228,20,2024-12-27,2024-12,3,Average quality. Nothing special about it.,-0.3089,Neutral,Men Bootcut Jeans,Mast & Harbour,Wide Leg & Bootcut,869.0
740,350,47,2023-05-11,2023-05,5,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Plus Size Stretchable Jeans,Sztori,Stretchable Jeans,863.0
741,264,45,2024-07-24,2024-07,3,Okay product. Expected more based on the description.,0.2263,Neutral,Men Wide Leg Cotton Jeans,HIGHLANDER,Wide Leg & Bootcut,1099.0
742,2,44,2024-07-07,2024-07,5,Amazing quality! Totally worth the price.,0.7419,Positive,Men Baggy Loose Jeans,glitchez,Relaxed Fit Jeans,747.0
743,495,9,2024-02-27,2024-02,5,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Regular Fit Mid-Rise Jeans,Roadster,Regular Fit Jeans,759.0
744,448,5,2024-11-11,2024-11,5,Perfect fit. The material feels premium.,0.7351,Positive,Men 511 Slim Fit Jeans,Levis,Slim Fit Jeans,1478.0
745,239,32,2023-03-22,2023-03,5,Fast delivery and great packaging.,0.6249,Positive,Men Relaxed Fit Jeans,The Indian Garage Co,Relaxed Fit Jeans,808.0
746,218,25,2024-02-05,2024-02,5,Amazing quality! Totally worth the price.,0.7419,Positive,Men Relaxed Fit Jeans,FUGAZEE,Relaxed Fit Jeans,2099.0
747,246,12,2023-11-08,2023-11,4,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Relaxed Fit Jeans,styzon,Relaxed Fit Jeans,989.0
748,298,33,2023-12-01,2023-12,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Straight Fit Jeans,glitchez,Regular Fit Jeans,797.0
749,313,4,2024-05-18,2024-05,4,Amazing quality! Totally worth the price.,0.7419,Positive,Relaxed Fit Denim Jeans,Bene Kleed,Relaxed Fit Jeans,873.0
750,252,24,2023-08-19,2023-08,5,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Slim Fit Jeans,Urbano Fashion,Slim Fit Jeans,629.0
751,80,46,2023-07-25,2023-07,3,Average quality. Nothing special about it.,-0.3089,Neutral,Men Slim Fit Jeans,HIGHLANDER,Slim Fit Jeans,675.0
752,169,27,2024-12-06,2024-12,4,Great value for money. Highly recommend.,0.8516,Positive,Men Slim Fit Jeans,French Connection,Slim Fit Jeans,1294.0
753,28,24,2023-09-13,2023-09,4,Fast delivery and great packaging.,0.6249,Positive,Men Slim Fit Jeans,Urbano Fashion,Slim Fit Jeans,629.0
754,65,45,2023-03-10,2023-03,4,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men Wide Leg Cotton Jeans,HIGHLANDER,Wide Leg & Bootcut,1099.0
755,150,35,2024-09-29,2024-09,5,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Relaxed Fit Jeans,Mast & Harbour,Relaxed Fit Jeans,819.0
756,490,33,2024-09-05,2024-09,5,Perfect fit. The material feels premium.,0.7351,Positive,Men Straight Fit Jeans,glitchez,Regular Fit Jeans,797.0
757,38,21,2024-12-31,2024-12,3,Material is fine but the colour is slightly different.,0.1027,Neutral,Men Low-Rise Cargo  Jeans,Kotty,Joggers & Cargo,639.0
758,295,6,2023-10-02,2023-10,2,Received a damaged product. Very unhappy.,-0.7178,Negative,Men Stretchable Jeans,HERE&NOW,Stretchable Jeans,798.0
759,430,23,2024-02-28,2024-02,3,Decent product but could be better for the price.,0.5927,Neutral,Men Stretchable Jeans,Mast & Harbour,Stretchable Jeans,758.0
760,56,37,2024-02-01,2024-02,2,Size runs small. Return process is very difficult.,-0.4201,Negative,Men Straight Fit Jeans,V-Mart,Regular Fit Jeans,809.0
761,456,9,2023-01-25,2023-01,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Regular Fit Mid-Rise Jeans,Roadster,Regular Fit Jeans,759.0
762,98,43,2023-10-31,2023-10,5,Perfect fit. The material feels premium.,0.7351,Positive,Men Mid-Rise Stretchable Jeans,MASTERLY WEFT,Stretchable Jeans,959.0
763,427,27,2024-05-06,2024-05,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Slim Fit Jeans,French Connection,Slim Fit Jeans,1294.0
764,275,28,2024-07-09,2024-07,5,Fast delivery and great packaging.,0.6249,Positive,Men Straight Fit Jeans,Mast & Harbour,Regular Fit Jeans,764.0
765,363,38,2023-02-04,2023-02,4,Great value for money. Highly recommend.,0.8516,Positive,Men Bootcut Jeans,Urbano Fashion,Wide Leg & Bootcut,944.0
766,264,13,2024-03-30,2024-03,5,Great value for money. Highly recommend.,0.8516,Positive,Men Slim Fit Stretchable Jeans,WROGN,Slim Fit Jeans,1275.0
767,492,49,2024-01-09,2024-01,2,The color faded after first wash. Very disappointing.,-0.5413,Negative,Non Stretchable Cotton Jeans,Flying Machine,Stretchable Jeans,1829.0
768,297,50,2023-04-30,2023-04,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,30 Days No Wash Jeans,TURMS,Denim & Jeans,3499.0
769,55,36,2024-01-28,2024-01,4,Loved the fabric and the fit. Will buy again.,0.7506,Positive,Men Straight Fit Jeans,Bene Kleed,Regular Fit Jeans,989.0
770,274,3,2024-05-19,2024-05,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Pure Cotton Jeans,Roadster,Denim & Jeans,974.0
771,463,15,2023-01-30,2023-01,5,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men Mid-Rise Boot Cut Jeans,Bene Kleed,Denim & Jeans,873.0
772,81,1,2023-03-10,2023-03,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Loose Fit Cotton Jeans,WROGN,Relaxed Fit Jeans,1374.0
773,220,15,2024-05-03,2024-05,5,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Mid-Rise Boot Cut Jeans,Bene Kleed,Denim & Jeans,873.0
774,397,17,2023-10-30,2023-10,4,Amazing quality! Totally worth the price.,0.7419,Positive,Men Low-Rise Jeans,Kotty,Denim & Jeans,519.0
775,328,7,2024-04-16,2024-04,5,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Relaxed Fit Jeans,Urbano Fashion,Relaxed Fit Jeans,944.0
776,252,19,2023-11-30,2023-11,5,Amazing quality! Totally worth the price.,0.7419,Positive,Men Straight Fit Jeans,Kotty,Regular Fit Jeans,719.0
777,163,17,2023-02-04,2023-02,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Low-Rise Jeans,Kotty,Denim & Jeans,519.0
778,129,47,2024-02-06,2024-02,4,Super comfortable jeans. Bought in two colours.,0.802,Positive,Plus Size Stretchable Jeans,Sztori,Stretchable Jeans,863.0
779,218,36,2023-10-05,2023-10,5,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Straight Fit Jeans,Bene Kleed,Regular Fit Jeans,989.0
780,26,49,2024-11-07,2024-11,5,Super comfortable jeans. Bought in two colours.,0.802,Positive,Non Stretchable Cotton Jeans,Flying Machine,Stretchable Jeans,1829.0
781,170,14,2023-06-14,2023-06,4,Perfect fit. The material feels premium.,0.7351,Positive,Men Relaxed Fit Mid-Rise Jeans,HIGHLANDER,Relaxed Fit Jeans,769.0
782,430,27,2024-03-08,2024-03,5,Loved the fabric and the fit. Will buy again.,0.7506,Positive,Men Slim Fit Jeans,French Connection,Slim Fit Jeans,1294.0
783,352,3,2023-02-19,2023-02,2,Product looks different from the photo online.,0.0,Mixed Negative,Men Pure Cotton Jeans,Roadster,Denim & Jeans,974.0
784,400,19,2023-04-03,2023-04,5,Perfect fit. The material feels premium.,0.7351,Positive,Men Straight Fit Jeans,Kotty,Regular Fit Jeans,719.0
785,21,2,2023-01-14,2023-01,4,Great value for money. Highly recommend.,0.8516,Positive,Men Slim Fit Jeans,Flying Machine,Slim Fit Jeans,1829.0
786,231,14,2023-02-05,2023-02,1,Received a damaged product. Very unhappy.,-0.7178,Negative,Men Relaxed Fit Mid-Rise Jeans,HIGHLANDER,Relaxed Fit Jeans,769.0
787,119,41,2024-12-27,2024-12,5,Great value for money. Highly recommend.,0.8516,Positive,Men Tapered Fit Jeans,Flying Machine,Denim & Jeans,1829.0
788,119,37,2024-08-09,2024-08,4,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men Straight Fit Jeans,V-Mart,Regular Fit Jeans,809.0
789,55,37,2023-08-04,2023-08,5,Amazing quality! Totally worth the price.,0.7419,Positive,Men Straight Fit Jeans,V-Mart,Regular Fit Jeans,809.0
790,74,7,2023-08-13,2023-08,5,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Relaxed Fit Jeans,Urbano Fashion,Relaxed Fit Jeans,944.0
791,278,41,2024-11-07,2024-11,3,Decent product but could be better for the price.,0.5927,Neutral,Men Tapered Fit Jeans,Flying Machine,Denim & Jeans,1829.0
792,495,38,2023-03-30,2023-03,4,Loved the fabric and the fit. Will buy again.,0.7506,Positive,Men Bootcut Jeans,Urbano Fashion,Wide Leg & Bootcut,944.0
793,296,19,2023-01-15,2023-01,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Straight Fit Jeans,Kotty,Regular Fit Jeans,719.0
794,290,29,2023-11-18,2023-11,3,Material is fine but the colour is slightly different.,0.1027,Neutral,Men Slim Fit Jeans,Roadster,Slim Fit Jeans,681.0
795,127,36,2023-05-23,2023-05,5,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Straight Fit Jeans,Bene Kleed,Regular Fit Jeans,989.0
796,437,28,2024-02-03,2024-02,5,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men Straight Fit Jeans,Mast & Harbour,Regular Fit Jeans,764.0
797,296,21,2024-06-20,2024-06,1,Stitching came off within a week. Terrible quality.,-0.4767,Negative,Men Low-Rise Cargo  Jeans,Kotty,Joggers & Cargo,639.0
798,9,42,2023-11-14,2023-11,5,Fast delivery and great packaging.,0.6249,Positive,Men Slim Fit Jeans,Nautica,Slim Fit Jeans,1088.0
799,274,30,2023-08-12,2023-08,3,Material is fine but the colour is slightly different.,0.1027,Neutral,Men Slim Tapered Fit Jeans,Mast & Harbour,Slim Fit Jeans,701.0
800,209,16,2023-07-21,2023-07,4,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Relaxed Fit Jeans,Flying Machine,Relaxed Fit Jeans,2309.0
801,420,29,2024-12-01,2024-12,3,Material is fine but the colour is slightly different.,0.1027,Neutral,Men Slim Fit Jeans,Roadster,Slim Fit Jeans,681.0
802,86,1,2024-06-06,2024-06,5,Loved the fabric and the fit. Will buy again.,0.7506,Positive,Men Loose Fit Cotton Jeans,WROGN,Relaxed Fit Jeans,1374.0
803,167,8,2024-07-18,2024-07,4,Great value for money. Highly recommend.,0.8516,Positive,Men Wide Leg Heavy Fade Jeans,Bene Kleed,Wide Leg & Bootcut,839.0
804,29,22,2024-02-29,2024-02,3,Decent product but could be better for the price.,0.5927,Neutral,Men Mid-Rise Skinny Fit Jeans,Mufti,Slim Fit Jeans,1393.0
805,304,9,2023-03-15,2023-03,4,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men Regular Fit Mid-Rise Jeans,Roadster,Regular Fit Jeans,759.0
806,448,15,2023-02-04,2023-02,5,Perfect fit. The material feels premium.,0.7351,Positive,Men Mid-Rise Boot Cut Jeans,Bene Kleed,Denim & Jeans,873.0
807,164,29,2024-03-30,2024-03,1,Size runs small. Return process is very difficult.,-0.4201,Negative,Men Slim Fit Jeans,Roadster,Slim Fit Jeans,681.0
808,122,44,2023-07-10,2023-07,4,Great value for money. Highly recommend.,0.8516,Positive,Men Baggy Loose Jeans,glitchez,Relaxed Fit Jeans,747.0
809,272,31,2024-05-15,2024-05,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Pure Cotton Skater Jeans,The Indian Garage Co,Denim & Jeans,688.0
810,476,12,2024-11-09,2024-11,2,Size runs small. Return process is very difficult.,-0.4201,Negative,Men Relaxed Fit Jeans,styzon,Relaxed Fit Jeans,989.0
811,473,26,2023-07-13,2023-07,4,Great value for money. Highly recommend.,0.8516,Positive,Men Slim Fit Mid-Rise Jeans,The Indian Garage Co,Slim Fit Jeans,659.0
812,49,45,2024-01-08,2024-01,4,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Wide Leg Cotton Jeans,HIGHLANDER,Wide Leg & Bootcut,1099.0
813,182,29,2023-07-01,2023-07,5,Great value for money. Highly recommend.,0.8516,Positive,Men Slim Fit Jeans,Roadster,Slim Fit Jeans,681.0
814,273,10,2024-06-14,2024-06,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Jogger Mid-Rise Jeans,styzon,Joggers & Cargo,899.0
815,294,4,2024-09-10,2024-09,5,Great value for money. Highly recommend.,0.8516,Positive,Relaxed Fit Denim Jeans,Bene Kleed,Relaxed Fit Jeans,873.0
816,420,8,2023-04-16,2023-04,5,Perfect fit. The material feels premium.,0.7351,Positive,Men Wide Leg Heavy Fade Jeans,Bene Kleed,Wide Leg & Bootcut,839.0
817,279,23,2023-08-26,2023-08,4,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Stretchable Jeans,Mast & Harbour,Stretchable Jeans,758.0
818,19,42,2024-05-21,2024-05,1,The jeans are too tight at the waist. Sizing is off.,0.0,Mixed Negative,Men Slim Fit Jeans,Nautica,Slim Fit Jeans,1088.0
819,5,39,2024-06-28,2024-06,4,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Regular Fit Jeans,Levis,Regular Fit Jeans,944.0
820,115,17,2024-08-19,2024-08,5,Perfect fit. The material feels premium.,0.7351,Positive,Men Low-Rise Jeans,Kotty,Denim & Jeans,519.0
821,488,28,2024-06-05,2024-06,4,Amazing quality! Totally worth the price.,0.7419,Positive,Men Straight Fit Jeans,Mast & Harbour,Regular Fit Jeans,764.0
822,104,45,2024-01-21,2024-01,1,Product looks different from the photo online.,0.0,Mixed Negative,Men Wide Leg Cotton Jeans,HIGHLANDER,Wide Leg & Bootcut,1099.0
823,154,40,2023-09-08,2023-09,3,Average quality. Nothing special about it.,-0.3089,Neutral,Men Relaxed Fit Jeans,Roadster,Relaxed Fit Jeans,645.0
824,28,22,2024-04-07,2024-04,5,Great value for money. Highly recommend.,0.8516,Positive,Men Mid-Rise Skinny Fit Jeans,Mufti,Slim Fit Jeans,1393.0
825,69,26,2024-10-15,2024-10,1,Customer support was unhelpful when I raised an issue.,0.4019,Mixed Negative,Men Slim Fit Mid-Rise Jeans,The Indian Garage Co,Slim Fit Jeans,659.0
826,493,18,2023-06-20,2023-06,3,Material is fine but the colour is slightly different.,0.1027,Neutral,Men Wide Leg Jeans,Roadster,Wide Leg & Bootcut,999.0
827,269,48,2024-11-12,2024-11,5,Loved the fabric and the fit. Will buy again.,0.7506,Positive,Men Bootcut Jeans,HERE&NOW,Wide Leg & Bootcut,869.0
828,194,38,2024-10-09,2024-10,5,Loved the fabric and the fit. Will buy again.,0.7506,Positive,Men Bootcut Jeans,Urbano Fashion,Wide Leg & Bootcut,944.0
829,488,14,2023-07-04,2023-07,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Relaxed Fit Mid-Rise Jeans,HIGHLANDER,Relaxed Fit Jeans,769.0
830,143,31,2024-10-29,2024-10,5,Amazing quality! Totally worth the price.,0.7419,Positive,Men Pure Cotton Skater Jeans,The Indian Garage Co,Denim & Jeans,688.0
831,270,7,2024-02-28,2024-02,5,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men Relaxed Fit Jeans,Urbano Fashion,Relaxed Fit Jeans,944.0
832,92,47,2023-06-08,2023-06,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Plus Size Stretchable Jeans,Sztori,Stretchable Jeans,863.0
833,478,45,2023-06-29,2023-06,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Wide Leg Cotton Jeans,HIGHLANDER,Wide Leg & Bootcut,1099.0
834,95,23,2024-02-06,2024-02,3,Material is fine but the colour is slightly different.,0.1027,Neutral,Men Stretchable Jeans,Mast & Harbour,Stretchable Jeans,758.0
835,185,18,2024-05-28,2024-05,3,Material is fine but the colour is slightly different.,0.1027,Neutral,Men Wide Leg Jeans,Roadster,Wide Leg & Bootcut,999.0
836,163,35,2023-06-18,2023-06,4,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Relaxed Fit Jeans,Mast & Harbour,Relaxed Fit Jeans,819.0
837,456,15,2023-02-22,2023-02,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Mid-Rise Boot Cut Jeans,Bene Kleed,Denim & Jeans,873.0
838,259,10,2023-06-12,2023-06,4,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Jogger Mid-Rise Jeans,styzon,Joggers & Cargo,899.0
839,5,20,2024-09-19,2024-09,4,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Bootcut Jeans,Mast & Harbour,Wide Leg & Bootcut,869.0
840,185,29,2024-01-25,2024-01,5,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Slim Fit Jeans,Roadster,Slim Fit Jeans,681.0
841,48,13,2023-05-23,2023-05,2,Material feels cheap. Not worth the price at all.,-0.1695,Negative,Men Slim Fit Stretchable Jeans,WROGN,Slim Fit Jeans,1275.0
842,209,35,2024-07-06,2024-07,2,Customer support was unhelpful when I raised an issue.,0.4019,Mixed Negative,Men Relaxed Fit Jeans,Mast & Harbour,Relaxed Fit Jeans,819.0
843,198,4,2024-03-24,2024-03,4,Excellent product. Myntra never disappoints.,0.7081,Positive,Relaxed Fit Denim Jeans,Bene Kleed,Relaxed Fit Jeans,873.0
844,108,2,2023-06-29,2023-06,5,Perfect fit. The material feels premium.,0.7351,Positive,Men Slim Fit Jeans,Flying Machine,Slim Fit Jeans,1829.0
845,406,42,2024-09-04,2024-09,5,Great value for money. Highly recommend.,0.8516,Positive,Men Slim Fit Jeans,Nautica,Slim Fit Jeans,1088.0
846,202,14,2023-08-07,2023-08,5,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Relaxed Fit Mid-Rise Jeans,HIGHLANDER,Relaxed Fit Jeans,769.0
847,199,3,2023-10-28,2023-10,1,The color faded after first wash. Very disappointing.,-0.5413,Negative,Men Pure Cotton Jeans,Roadster,Denim & Jeans,974.0
848,264,50,2023-06-05,2023-06,2,Size runs small. Return process is very difficult.,-0.4201,Negative,30 Days No Wash Jeans,TURMS,Denim & Jeans,3499.0
849,26,33,2024-09-15,2024-09,1,The color faded after first wash. Very disappointing.,-0.5413,Negative,Men Straight Fit Jeans,glitchez,Regular Fit Jeans,797.0
850,293,6,2023-10-16,2023-10,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Stretchable Jeans,HERE&NOW,Stretchable Jeans,798.0
851,363,15,2024-10-29,2024-10,5,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Mid-Rise Boot Cut Jeans,Bene Kleed,Denim & Jeans,873.0
852,487,45,2024-12-31,2024-12,5,Amazing quality! Totally worth the price.,0.7419,Positive,Men Wide Leg Cotton Jeans,HIGHLANDER,Wide Leg & Bootcut,1099.0
853,385,10,2023-07-03,2023-07,2,Stitching came off within a week. Terrible quality.,-0.4767,Negative,Men Jogger Mid-Rise Jeans,styzon,Joggers & Cargo,899.0
854,385,1,2023-10-25,2023-10,5,Great value for money. Highly recommend.,0.8516,Positive,Men Loose Fit Cotton Jeans,WROGN,Relaxed Fit Jeans,1374.0
855,78,11,2024-01-23,2024-01,5,Great value for money. Highly recommend.,0.8516,Positive,Men Slim Fit Jeans,Calvin Klein Jeans,Slim Fit Jeans,949.0
856,1,33,2024-10-11,2024-10,5,Great value for money. Highly recommend.,0.8516,Positive,Men Straight Fit Jeans,glitchez,Regular Fit Jeans,797.0
857,383,3,2024-02-29,2024-02,4,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Pure Cotton Jeans,Roadster,Denim & Jeans,974.0
858,152,27,2023-01-07,2023-01,5,Amazing quality! Totally worth the price.,0.7419,Positive,Men Slim Fit Jeans,French Connection,Slim Fit Jeans,1294.0
859,103,33,2023-12-10,2023-12,5,Fast delivery and great packaging.,0.6249,Positive,Men Straight Fit Jeans,glitchez,Regular Fit Jeans,797.0
860,457,9,2024-01-24,2024-01,5,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Regular Fit Mid-Rise Jeans,Roadster,Regular Fit Jeans,759.0
861,321,32,2024-02-03,2024-02,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Relaxed Fit Jeans,The Indian Garage Co,Relaxed Fit Jeans,808.0
862,435,10,2023-08-15,2023-08,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Jogger Mid-Rise Jeans,styzon,Joggers & Cargo,899.0
863,141,10,2024-11-30,2024-11,5,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Jogger Mid-Rise Jeans,styzon,Joggers & Cargo,899.0
864,434,1,2023-09-18,2023-09,5,Perfect fit. The material feels premium.,0.7351,Positive,Men Loose Fit Cotton Jeans,WROGN,Relaxed Fit Jeans,1374.0
865,388,11,2024-04-20,2024-04,4,Fast delivery and great packaging.,0.6249,Positive,Men Slim Fit Jeans,Calvin Klein Jeans,Slim Fit Jeans,949.0
866,14,23,2024-11-05,2024-11,5,Great value for money. Highly recommend.,0.8516,Positive,Men Stretchable Jeans,Mast & Harbour,Stretchable Jeans,758.0
867,130,35,2023-04-07,2023-04,5,Amazing quality! Totally worth the price.,0.7419,Positive,Men Relaxed Fit Jeans,Mast & Harbour,Relaxed Fit Jeans,819.0
868,392,6,2024-05-26,2024-05,4,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Stretchable Jeans,HERE&NOW,Stretchable Jeans,798.0
869,88,37,2023-03-09,2023-03,4,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Straight Fit Jeans,V-Mart,Regular Fit Jeans,809.0
870,92,11,2024-08-15,2024-08,5,Perfect fit. The material feels premium.,0.7351,Positive,Men Slim Fit Jeans,Calvin Klein Jeans,Slim Fit Jeans,949.0
871,37,23,2024-07-16,2024-07,1,Size runs small. Return process is very difficult.,-0.4201,Negative,Men Stretchable Jeans,Mast & Harbour,Stretchable Jeans,758.0
872,182,9,2024-11-27,2024-11,5,Loved the fabric and the fit. Will buy again.,0.7506,Positive,Men Regular Fit Mid-Rise Jeans,Roadster,Regular Fit Jeans,759.0
873,498,11,2023-05-04,2023-05,2,The jeans are too tight at the waist. Sizing is off.,0.0,Mixed Negative,Men Slim Fit Jeans,Calvin Klein Jeans,Slim Fit Jeans,949.0
874,389,4,2023-12-02,2023-12,4,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Relaxed Fit Denim Jeans,Bene Kleed,Relaxed Fit Jeans,873.0
875,33,15,2024-09-06,2024-09,4,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Mid-Rise Boot Cut Jeans,Bene Kleed,Denim & Jeans,873.0
