reviewid,customerid,productid,reviewdate,rating,reviewtext
882,264,21,2023-02-17,4,Fits perfectly. Very happy with the purchase.
883,480,43,2023-10-06,5,Great value for money. Highly recommend.
884,429,21,2023-01-29,5,Super comfortable jeans. Bought in two colours.
885,54,4,2023-06-24,2,Size runs small. Return process is very difficult.
886,354,15,2024-08-09,5,Super comfortable jeans. Bought in two colours.
887,438,46,2023-09-15,5,Fast delivery and great packaging.
888,348,33,2024-06-24,1,The color faded after first wash. Very disappointing.
889,387,14,2024-05-13,5,Perfect fit. The material feels premium.
890,227,9,2023-01-06,4,Excellent product. Myntra never disappoints.
891,135,7,2024-04-26,3,Not bad but not great either. Fits okay.
892,265,39,2024-03-22,2,Material feels cheap. Not worth the price at all.
893,348,38,2024-06-30,3,Average quality. Nothing special about it.
894,60,26,2024-01-09,5,Amazing quality! Totally worth the price.
895,499,29,2024-05-09,1,Stitching came off within a week. Terrible quality.
896,479,4,2024-07-26,4,Beautiful design. Exactly as shown in the photo.
897,36,30,2024-06-19,3,Decent product but could be better for the price.
898,174,16,2023-09-12,4,Excellent product. Myntra never disappoints.
899,118,49,2024-06-11,4,Excellent product. Myntra never disappoints.
900,124,39,2024-01-02,5,Amazing quality! Totally worth the price.
901,97,12,2023-12-21,4,Beautiful design. Exactly as shown in the photo.
902,361,2,2023-10-25,5,Perfect fit. The material feels premium.
903,234,22,2023-11-08,2,Product looks different from the photo online.
904,439,30,2024-04-05,4,Super comfortable jeans. Bought in two colours.
905,235,35,2024-03-03,1,Received a damaged product. Very unhappy.
906,295,31,2023-12-11,1,Product looks different from the photo online.
907,340,13,2023-02-02,5,Fits perfectly. Very happy with the purchase.
908,278,47,2024-02-16,5,Excellent product. Myntra never disappoints.
909,415,8,2023-10-28,5,Amazing quality! Totally worth the price.
910,328,18,2024-10-01,5,Super comfortable jeans. Bought in two colours.
911,413,7,2023-06-15,5,Amazing quality! Totally worth the price.
912,233,5,2024-11-08,5,Perfect fit. The material feels premium.
913,199,21,2023-04-14,5,Beautiful design. Exactly as shown in the photo.
914,61,3,2023-03-13,5,Loved the fabric and the fit. Will buy again.
915,231,8,2024-03-05,4,Great value for money. Highly recommend.
916,282,5,2023-06-13,5,Beautiful design. Exactly as shown in the photo.
917,86,32,2023-05-01,5,Loved the fabric and the fit. Will buy again.
918,467,42,2024-01-11,5,Delivery was quick and product is exactly as described.
919,451,26,2024-10-01,3,Material is fine but the colour is slightly different.
920,347,36,2023-12-23,1,Material feels cheap. Not worth the price at all.
921,362,18,2023-03-05,5,Great value for money. Highly recommend.
922,290,26,2024-01-13,3,Not bad but not great either. Fits okay.
923,428,17,2024-09-29,5,Amazing quality! Totally worth the price.
924,31,48,2023-01-05,4,Fast delivery and great packaging.
925,77,16,2023-02-16,5,Amazing quality! Totally worth the price.
926,228,50,2023-02-11,5,Fast delivery and great packaging.
927,91,47,2023-06-15,5,Super comfortable jeans. Bought in two colours.
928,474,14,2024-04-09,5,Great value for money. Highly recommend.
929,422,48,2024-08-12,5,Excellent product. Myntra never disappoints.
930,246,45,2024-09-02,5,Great value for money. Highly recommend.
931,142,29,2023-11-26,3,Not bad but not great either. Fits okay.
932,360,43,2024-07-27,5,Great value for money. Highly recommend.
933,467,4,2023-03-10,5,Fits perfectly. Very happy with the purchase.
934,74,23,2024-12-13,5,Great value for money. Highly recommend.
935,236,8,2024-05-22,5,Delivery was quick and product is exactly as described.
936,55,31,2024-10-12,5,Fits perfectly. Very happy with the purchase.
937,180,25,2023-06-11,4,Fits perfectly. Very happy with the purchase.
938,210,44,2023-04-12,5,Amazing quality! Totally worth the price.
939,225,8,2023-01-01,4,Super comfortable jeans. Bought in two colours.
940,240,7,2024-12-06,5,Super comfortable jeans. Bought in two colours.
941,448,49,2024-02-25,4,Fits perfectly. Very happy with the purchase.
942,353,19,2023-01-25,4,Super comfortable jeans. Bought in two colours.
943,237,26,2024-02-21,3,Material is fine but the colour is slightly different.
944,378,23,2023-05-28,2,Size runs small. Return process is very difficult.
945,295,5,2023-08-26,4,Fast delivery and great packaging.
946,65,22,2024-05-09,4,Excellent product. Myntra never disappoints.
947,81,42,2024-06-08,4,Excellent product. Myntra never disappoints.
948,465,7,2024-12-11,1,The color faded after first wash. Very disappointing.
949,467,5,2024-02-07,4,Great value for money. Highly recommend.
950,116,6,2024-04-27,3,Decent product but could be better for the price.
951,222,25,2024-12-30,5,Loved the fabric and the fit. Will buy again.
952,167,15,2023-01-05,4,Beautiful design. Exactly as shown in the photo.
953,59,45,2024-10-29,5,Loved the fabric and the fit. Will buy again.
954,86,33,2024-12-19,5,Delivery was quick and product is exactly as described.
955,284,5,2024-01-10,5,Fast delivery and great packaging.
956,96,8,2023-08-18,3,Material is fine but the colour is slightly different.
957,287,25,2024-10-31,3,Not bad but not great either. Fits okay.
958,162,8,2023-04-23,4,Great value for money. Highly recommend.
959,255,1,2024-01-10,1,Quality is below average. Not what I expected.
960,205,35,2024-07-29,4,Loved the fabric and the fit. Will buy again.
961,176,44,2023-07-15,4,Excellent product. Myntra never disappoints.
962,288,26,2023-11-22,5,Perfect fit. The material feels premium.
963,197,42,2023-02-05,5,Beautiful design. Exactly as shown in the photo.
964,447,49,2024-08-24,3,Okay product. Expected more based on the description.
965,450,34,2024-05-01,4,Great value for money. Highly recommend.
966,233,13,2023-06-26,4,Great value for money. Highly recommend.
967,11,43,2024-10-23,4,Excellent product. Myntra never disappoints.
968,481,18,2023-07-22,1,The jeans are too tight at the waist. Sizing is off.
969,164,10,2023-03-20,4,Fast delivery and great packaging.
970,66,44,2023-05-25,5,Beautiful design. Exactly as shown in the photo.
971,2,7,2023-04-08,5,Super comfortable jeans. Bought in two colours.
972,316,36,2023-03-16,4,Fast delivery and great packaging.
973,129,16,2024-11-05,5,Amazing quality! Totally worth the price.
974,373,47,2024-10-25,4,Excellent product. Myntra never disappoints.
975,387,39,2024-05-14,5,Loved the fabric and the fit. Will buy again.
976,278,38,2024-06-11,3,Decent product but could be better for the price.
977,22,35,2024-06-04,5,Amazing quality! Totally worth the price.
978,175,3,2023-01-26,2,Quality is below average. Not what I expected.
979,193,46,2023-12-14,5,Fast delivery and great packaging.
980,303,3,2024-08-28,3,Material is fine but the colour is slightly different.
981,211,45,2023-04-10,5,Fast delivery and great packaging.
982,39,11,2024-10-13,4,Excellent product. Myntra never disappoints.
983,398,17,2024-03-08,5,Excellent product. Myntra never disappoints.
984,290,34,2023-12-22,2,Delivery was very late. Poor experience.
985,319,33,2023-10-01,5,Beautiful design. Exactly as shown in the photo.
986,307,5,2023-11-25,5,Excellent product. Myntra never disappoints.
987,126,15,2023-01-01,5,Beautiful design. Exactly as shown in the photo.
988,182,32,2024-12-04,1,Product looks different from the photo online.
989,436,33,2024-05-17,5,Fast delivery and great packaging.
990,177,4,2024-09-30,5,Fits perfectly. Very happy with the purchase.
991,333,7,2023-10-25,4,Perfect fit. The material feels premium.
992,478,37,2024-12-24,4,Great value for money. Highly recommend.
993,434,15,2023-05-11,5,Fits perfectly. Very happy with the purchase.
994,470,32,2024-07-19,1,Size runs small. Return process is very difficult.
995,343,37,2023-08-11,4,Fast delivery and great packaging.
996,61,33,2024-02-11,4,Great value for money. Highly recommend.
997,160,3,2023-09-09,5,Great value for money. Highly recommend.
998,431,10,2023-10-13,5,Great value for money. Highly recommend.
999,476,33,2024-07-12,5,Super comfortable jeans. Bought in two colours.
1000,196,40,2024-01-17,2,Size runs small. Return process is very difficult.
1001,488,30,2023-05-26,3,Okay product. Expected more based on the description.
1002,43,12,2023-08-30,4,Loved the fabric and the fit. Will buy again.
1003,314,48,2023-07-30,4,Fits perfectly. Very happy with the purchase.
1004,428,36,2024-04-26,5,Great value for money. Highly recommend.
1005,458,33,2023-05-18,5,Amazing quality! Totally worth the price.
1006,216,9,2023-01-28,1,The jeans are too tight at the waist. Sizing is off.
1007,339,49,2024-01-31,5,Great value for money. Highly recommend.
1008,110,18,2024-11-13,5,Excellent product. Myntra never disappoints.
1009,381,14,2023-02-01,2,Product looks different from the photo online.
1010,221,43,2024-06-25,3,Average quality. Nothing special about it.
1011,217,41,2024-03-10,5,Super comfortable jeans. Bought in two colours.
1012,385,4,2023-05-20,4,Excellent product. Myntra never disappoints.
1013,1,36,2023-10-30,5,Fast delivery and great packaging.
1014,89,26,2024-07-25,3,Okay product. Expected more based on the description.
1015,244,40,2024-12-29,1,Delivery was very late. Poor experience.
1016,73,9,2023-10-17,5,Fits perfectly. Very happy with the purchase.
1017,136,9,2023-05-18,4,Delivery was quick and product is exactly as described.
1018,234,17,2024-04-11,4,Super comfortable jeans. Bought in two colours.
1019,412,34,2024-11-05,4,Great value for money. Highly recommend.
1020,270,20,2023-10-16,5,Great value for money. Highly recommend.
1021,118,38,2024-06-27,4,Amazing quality! Totally worth the price.
1022,91,2,2023-11-01,5,Perfect fit. The material feels premium.
1023,355,38,2024-10-02,5,Excellent product. Myntra never disappoints.
1024,160,29,2024-08-31,5,Fits perfectly. Very happy with the purchase.
1025,350,38,2023-09-08,5,Amazing quality! Totally worth the price.
1026,77,21,2023-02-25,3,Okay product. Expected more based on the description.
1027,331,31,2024-12-21,4,Fast delivery and great packaging.
1028,232,34,2024-10-22,5,Excellent product. Myntra never disappoints.
1029,404,28,2024-06-13,5,Fast delivery and great packaging.
1030,446,37,2023-08-19,3,Not bad but not great either. Fits okay.
1031,70,46,2024-08-22,4,Excellent product. Myntra never disappoints.
1032,89,15,2024-03-24,5,Fast delivery and great packaging.
1033,144,30,2024-09-25,5,Great value for money. Highly recommend.
1034,101,33,2024-11-21,3,Not bad but not great either. Fits okay.
1035,393,37,2023-10-27,5,Delivery was quick and product is exactly as described.
1036,246,36,2024-12-25,5,Super comfortable jeans. Bought in two colours.
1037,23,36,2023-01-21,5,Loved the fabric and the fit. Will buy again.
1038,92,33,2023-09-19,5,Fast delivery and great packaging.
1039,44,21,2023-11-24,5,Beautiful design. Exactly as shown in the photo.
1040,393,49,2024-08-19,4,Delivery was quick and product is exactly as described.
1041,358,43,2024-10-09,5,Delivery was quick and product is exactly as described.
1042,136,41,2024-12-31,5,Amazing quality! Totally worth the price.
1043,81,43,2023-10-07,5,Perfect fit. The material feels premium.
1044,491,26,2024-08-26,3,Okay product. Expected more based on the description.
1045,437,3,2023-07-23,4,Loved the fabric and the fit. Will buy again.
1046,80,48,2024-04-20,5,Great value for money. Highly recommend.
1047,106,49,2023-09-20,4,Loved the fabric and the fit. Will buy again.
1048,346,29,2024-01-18,5,Great value for money. Highly recommend.
1049,199,50,2023-05-14,5,Super comfortable jeans. Bought in two colours.
1050,5,20,2023-03-13,4,Super comfortable jeans. Bought in two colours.
1051,241,31,2023-01-02,5,Delivery was quick and product is exactly as described.
1052,44,43,2024-02-27,1,Size runs small. Return process is very difficult.
1053,202,46,2024-02-08,5,Delivery was quick and product is exactly as described.
1054,243,10,2023-10-07,5,Delivery was quick and product is exactly as described.
1055,149,50,2023-06-24,5,Fast delivery and great packaging.
1056,401,48,2023-09-08,3,Not bad but not great either. Fits okay.
1057,191,46,2024-08-09,1,Size runs small. Return process is very difficult.
1058,251,14,2024-01-24,2,Customer support was unhelpful when I raised an issue.
1059,383,4,2023-04-06,4,Amazing quality! Totally worth the price.
1060,153,30,2024-09-01,5,Loved the fabric and the fit. Will buy again.
1061,495,5,2024-11-25,5,Excellent product. Myntra never disappoints.
1062,404,39,2024-10-16,3,Not bad but not great either. Fits okay.
1063,203,12,2024-08-09,3,Not bad but not great either. Fits okay.
1064,115,38,2023-09-19,5,Super comfortable jeans. Bought in two colours.
1065,429,22,2024-09-11,5,Amazing quality! Totally worth the price.
1066,202,13,2024-10-29,4,Beautiful design. Exactly as shown in the photo.
1067,40,25,2024-11-26,4,Fast delivery and great packaging.
1068,434,42,2024-12-30,4,Super comfortable jeans. Bought in two colours.
1069,105,48,2023-04-03,1,Product looks different from the photo online.
1070,384,41,2024-05-02,5,Fits perfectly. Very happy with the purchase.
1071,248,41,2023-06-13,5,Fits perfectly. Very happy with the purchase.
1072,226,30,2024-02-06,5,Delivery was quick and product is exactly as described.
1073,300,46,2024-08-29,4,Amazing quality! Totally worth the price.
1074,472,39,2024-08-24,5,Super comfortable jeans. Bought in two colours.
1075,282,12,2024-12-21,4,Delivery was quick and product is exactly as described.
1076,127,14,2024-08-10,5,Super comfortable jeans. Bought in two colours.
1077,293,13,2024-06-05,5,Fast delivery and great packaging.
1078,223,49,2023-09-13,4,Excellent product. Myntra never disappoints.
1079,43,45,2024-05-08,5,Perfect fit. The material feels premium.
1080,359,41,2023-06-26,2,Received a damaged product. Very unhappy.
1081,386,6,2024-02-28,5,Fast delivery and great packaging.
1082,113,45,2023-06-08,4,Great value for money. Highly recommend.
1083,343,2,2024-05-17,4,Loved the fabric and the fit. Will buy again.
1084,394,10,2023-06-04,5,Beautiful design. Exactly as shown in the photo.
1085,183,10,2023-08-30,5,Loved the fabric and the fit. Will buy again.
1086,372,13,2024-01-19,5,Super comfortable jeans. Bought in two colours.
1087,211,34,2023-06-10,4,Delivery was quick and product is exactly as described.
1088,165,3,2024-01-04,5,Super comfortable jeans. Bought in two colours.
1089,473,8,2023-01-11,4,Loved the fabric and the fit. Will buy again.
1090,26,35,2024-07-13,5,Great value for money. Highly recommend.
1091,385,2,2023-12-26,4,Beautiful design. Exactly as shown in the photo.
1092,272,1,2023-11-24,5,Great value for money. Highly recommend.
1093,422,27,2024-11-27,2,Material feels cheap. Not worth the price at all.
1094,223,6,2024-05-26,4,Super comfortable jeans. Bought in two colours.
1095,489,28,2024-07-15,5,Super comfortable jeans. Bought in two colours.
1096,125,15,2023-12-05,4,Beautiful design. Exactly as shown in the photo.
1097,499,15,2024-02-23,3,Not bad but not great either. Fits okay.
1098,407,45,2023-06-09,3,Not bad but not great either. Fits okay.
1099,177,1,2023-03-18,4,Loved the fabric and the fit. Will buy again.
1100,256,16,2024-10-16,3,Not bad but not great either. Fits okay.
1101,308,19,2023-04-29,4,Great value for money. Highly recommend.
1102,14,40,2024-03-02,1,Quality is below average. Not what I expected.
1103,182,38,2023-10-04,4,Delivery was quick and product is exactly as described.
1104,293,35,2023-01-17,4,Fits perfectly. Very happy with the purchase.
1105,225,49,2023-04-06,5,Great value for money. Highly recommend.
1106,226,42,2024-09-20,4,Fits perfectly. Very happy with the purchase.
1107,383,39,2024-06-02,5,Great value for money. Highly recommend.
1108,60,16,2024-04-08,5,Great value for money. Highly recommend.
1109,491,47,2023-09-28,2,Received a damaged product. Very unhappy.
1110,164,12,2024-08-01,5,Beautiful design. Exactly as shown in the photo.
1111,225,41,2023-08-31,4,Excellent product. Myntra never disappoints.
1112,228,24,2024-04-11,3,Average quality. Nothing special about it.
1113,476,36,2023-03-25,4,Fast delivery and great packaging.
1114,446,43,2024-08-29,5,Perfect fit. The material feels premium.
1115,21,41,2024-08-31,5,Fits perfectly. Very happy with the purchase.
1116,180,48,2023-10-21,5,Amazing quality! Totally worth the price.
1117,17,21,2023-10-19,2,The color faded after first wash. Very disappointing.
1118,149,27,2023-07-09,5,Fast delivery and great packaging.
1119,120,16,2024-09-16,2,The jeans are too tight at the waist. Sizing is off.
1120,122,13,2023-12-11,5,Amazing quality! Totally worth the price.
1121,161,38,2024-04-28,4,Fits perfectly. Very happy with the purchase.
1122,258,12,2023-06-10,5,Amazing quality! Totally worth the price.
1123,251,36,2024-06-21,5,Fast delivery and great packaging.
1124,75,50,2024-07-19,4,Great value for money. Highly recommend.
1125,127,4,2024-03-11,5,Super comfortable jeans. Bought in two colours.
1126,372,16,2024-06-11,5,Super comfortable jeans. Bought in two colours.
1127,292,32,2024-11-04,5,Beautiful design. Exactly as shown in the photo.
1128,352,42,2023-02-26,5,Great value for money. Highly recommend.
1129,308,26,2023-05-24,4,Great value for money. Highly recommend.
1130,352,6,2023-01-28,3,Material is fine but the colour is slightly different.
1131,487,10,2024-12-07,1,The jeans are too tight at the waist. Sizing is off.
1132,198,16,2023-10-24,4,Loved the fabric and the fit. Will buy again.
1133,218,32,2023-12-26,1,Received a damaged product. Very unhappy.
1134,431,50,2024-07-18,2,The jeans are too tight at the waist. Sizing is off.
1135,284,6,2023-11-20,5,Super comfortable jeans. Bought in two colours.
1136,344,3,2024-04-16,5,Delivery was quick and product is exactly as described.
1137,162,49,2024-12-29,5,Perfect fit. The material feels premium.
1138,174,40,2024-02-06,3,Material is fine but the colour is slightly different.
1139,485,24,2024-09-26,5,Loved the fabric and the fit. Will buy again.
1140,43,13,2023-12-24,1,The jeans are too tight at the waist. Sizing is off.
1141,400,9,2023-03-08,5,Beautiful design. Exactly as shown in the photo.
1142,401,2,2024-04-05,5,Great value for money. Highly recommend.
1143,115,29,2023-12-08,5,Loved the fabric and the fit. Will buy again.
1144,88,20,2024-08-10,5,Perfect fit. The material feels premium.
1145,353,13,2024-03-12,2,The jeans are too tight at the waist. Sizing is off.
1146,287,17,2024-02-22,5,Perfect fit. The material feels premium.
1147,476,8,2024-06-12,5,Perfect fit. The material feels premium.
1148,342,27,2023-12-11,4,Loved the fabric and the fit. Will buy again.
1149,289,23,2023-12-25,1,Stitching came off within a week. Terrible quality.
1150,149,7,2023-12-01,4,Fits perfectly. Very happy with the purchase.
1151,455,29,2024-11-16,5,Great value for money. Highly recommend.
1152,92,22,2023-02-10,4,Loved the fabric and the fit. Will buy again.
1153,34,2,2024-07-15,5,Perfect fit. The material feels premium.
1154,109,22,2023-06-04,5,Great value for money. Highly recommend.
1155,77,3,2024-10-06,4,Excellent product. Myntra never disappoints.
1156,44,24,2023-10-21,5,Loved the fabric and the fit. Will buy again.
1157,297,16,2023-11-07,1,The jeans are too tight at the waist. Sizing is off.
1158,393,44,2024-03-14,2,Stitching came off within a week. Terrible quality.
1159,497,28,2024-01-27,5,Fast delivery and great packaging.
1160,336,23,2024-11-10,2,Product looks different from the photo online.
1161,155,3,2024-07-19,1,Quality is below average. Not what I expected.
1162,12,26,2024-05-04,5,Perfect fit. The material feels premium.
1163,197,20,2024-10-28,5,Delivery was quick and product is exactly as described.
1164,179,48,2024-10-26,5,Excellent product. Myntra never disappoints.
1165,404,42,2023-08-19,5,Perfect fit. The material feels premium.
1166,446,11,2023-05-24,4,Perfect fit. The material feels premium.
1167,249,3,2023-04-10,4,Great value for money. Highly recommend.
1168,447,42,2023-10-31,5,Fits perfectly. Very happy with the purchase.
1169,323,46,2024-09-19,5,Excellent product. Myntra never disappoints.
1170,374,3,2023-02-11,4,Fits perfectly. Very happy with the purchase.
1171,10,18,2024-07-15,4,Fits perfectly. Very happy with the purchase.
1172,254,41,2024-03-03,5,Perfect fit. The material feels premium.
1173,193,8,2024-08-12,3,Okay product. Expected more based on the description.
1174,108,5,2024-04-03,5,Amazing quality! Totally worth the price.
1175,455,26,2023-04-29,4,Amazing quality! Totally worth the price.
1176,118,41,2023-01-19,5,Perfect fit. The material feels premium.
1177,50,24,2024-07-16,5,Beautiful design. Exactly as shown in the photo.
1178,198,10,2024-02-23,1,Stitching came off within a week. Terrible quality.
1179,216,7,2023-08-13,4,Fits perfectly. Very happy with the purchase.
1180,395,11,2023-06-26,2,Stitching came off within a week. Terrible quality.
1181,300,20,2024-10-16,5,Delivery was quick and product is exactly as described.
1182,332,33,2024-07-31,4,Great value for money. Highly recommend.
1183,113,6,2024-10-29,5,Super comfortable jeans. Bought in two colours.
1184,89,25,2023-10-12,5,Super comfortable jeans. Bought in two colours.
1185,230,6,2023-09-16,5,Fast delivery and great packaging.
1186,190,12,2023-04-18,5,Great value for money. Highly recommend.
1187,379,41,2024-05-27,4,Excellent product. Myntra never disappoints.
1188,132,6,2024-01-13,2,Stitching came off within a week. Terrible quality.
1189,478,47,2023-08-13,5,Delivery was quick and product is exactly as described.
1190,425,28,2024-05-11,5,Perfect fit. The material feels premium.
1191,228,16,2023-07-16,2,Received a damaged product. Very unhappy.
1192,419,31,2023-06-27,5,Great value for money. Highly recommend.
1193,347,8,2024-11-06,5,Amazing quality! Totally worth the price.
1194,408,11,2023-01-04,4,Excellent product. Myntra never disappoints.
1195,167,23,2023-06-08,4,Fast delivery and great packaging.
1196,369,10,2024-03-16,4,Fast delivery and great packaging.
1197,185,23,2024-12-05,5,Fits perfectly. Very happy with the purchase.
1198,446,41,2023-05-16,1,Quality is below average. Not what I expected.
1199,206,35,2024-01-12,4,Loved the fabric and the fit. Will buy again.
1200,473,12,2024-06-22,5,Amazing quality! Totally worth the price.
1201,97,14,2024-02-05,5,Super comfortable jeans. Bought in two colours.
1202,480,7,2024-06-26,4,Loved the fabric and the fit. Will buy again.
1203,127,16,2024-04-07,5,Fits perfectly. Very happy with the purchase.
1204,225,19,2024-03-15,3,Not bad but not great either. Fits okay.
1205,441,8,2024-06-04,4,Delivery was quick and product is exactly as described.
1206,328,46,2024-04-02,5,Excellent product. Myntra never disappoints.
1207,149,18,2024-08-11,4,Excellent product. Myntra never disappoints.
1208,178,41,2024-05-15,5,Fits perfectly. Very happy with the purchase.
1209,210,33,2024-02-17,5,Loved the fabric and the fit. Will buy again.
1210,170,15,2024-12-04,4,Delivery was quick and product is exactly as described.
1211,391,12,2023-08-03,4,Beautiful design. Exactly as shown in the photo.
1212,398,14,2024-12-29,1,Delivery was very late. Poor experience.
1213,155,3,2023-09-07,5,Super comfortable jeans. Bought in two colours.
1214,53,42,2023-07-24,5,Perfect fit. The material feels premium.
1215,144,35,2024-02-17,4,Fast delivery and great packaging.
1216,445,8,2023-03-01,5,Loved the fabric and the fit. Will buy again.
1217,330,24,2024-09-21,5,Fits perfectly. Very happy with the purchase.
1218,458,16,2024-11-15,5,Fast delivery and great packaging.
1219,134,6,2023-09-09,5,Perfect fit. The material feels premium.
1220,397,28,2024-01-22,5,Delivery was quick and product is exactly as described.
1221,181,4,2024-01-25,1,Stitching came off within a week. Terrible quality.
1222,90,10,2024-10-30,4,Amazing quality! Totally worth the price.
1223,478,22,2023-05-29,4,Super comfortable jeans. Bought in two colours.
1224,493,42,2024-03-12,2,Material feels cheap. Not worth the price at all.
1225,34,4,2023-05-09,2,The color faded after first wash. Very disappointing.
1226,456,38,2024-09-20,5,Amazing quality! Totally worth the price.
1227,33,3,2024-06-20,4,Amazing quality! Totally worth the price.
1228,272,26,2024-03-08,5,Delivery was quick and product is exactly as described.
1229,283,6,2024-03-04,4,Great value for money. Highly recommend.
1230,59,19,2023-06-17,5,Perfect fit. The material feels premium.
1231,352,30,2024-06-22,1,The color faded after first wash. Very disappointing.
1232,317,1,2023-07-19,2,Product looks different from the photo online.
1233,201,12,2024-11-11,5,Loved the fabric and the fit. Will buy again.
1234,480,19,2024-10-29,4,Amazing quality! Totally worth the price.
1235,320,34,2024-04-04,4,Perfect fit. The material feels premium.
1236,237,15,2023-06-22,5,Perfect fit. The material feels premium.
1237,89,9,2023-08-01,5,Great value for money. Highly recommend.
1238,58,19,2023-02-08,5,Loved the fabric and the fit. Will buy again.
1239,251,50,2023-10-30,5,Fits perfectly. Very happy with the purchase.
1240,206,20,2024-07-03,5,Excellent product. Myntra never disappoints.
1241,417,41,2024-05-01,4,Excellent product. Myntra never disappoints.
1242,111,26,2024-03-14,5,Delivery was quick and product is exactly as described.
1243,185,41,2023-12-25,4,Delivery was quick and product is exactly as described.
1244,125,35,2024-07-11,5,Amazing quality! Totally worth the price.
1245,497,3,2024-04-20,4,Amazing quality! Totally worth the price.
1246,49,41,2023-05-29,5,Amazing quality! Totally worth the price.
1247,257,1,2024-12-24,5,Fits perfectly. Very happy with the purchase.
1248,345,27,2024-01-19,4,Fits perfectly. Very happy with the purchase.
1249,208,2,2023-11-16,5,Excellent product. Myntra never disappoints.
1250,168,12,2023-08-02,2,Received a damaged product. Very unhappy.
1251,28,44,2024-01-28,1,Stitching came off within a week. Terrible quality.
1252,390,25,2023-05-14,5,Fast delivery and great packaging.
1253,27,36,2023-10-27,4,Fits perfectly. Very happy with the purchase.
1254,354,29,2023-03-29,5,Fits perfectly. Very happy with the purchase.
1255,24,22,2023-09-14,2,Received a damaged product. Very unhappy.
1256,284,5,2023-01-30,5,Delivery was quick and product is exactly as described.
1257,212,50,2023-12-07,5,Amazing quality! Totally worth the price.
1258,116,24,2024-03-03,4,Fits perfectly. Very happy with the purchase.
1259,94,17,2024-01-06,5,Fast delivery and great packaging.
1260,402,49,2024-06-23,2,Quality is below average. Not what I expected.
1261,12,11,2024-03-09,4,Fast delivery and great packaging.
1262,226,29,2024-04-01,4,Loved the fabric and the fit. Will buy again.
1263,256,22,2023-03-29,4,Excellent product. Myntra never disappoints.
1264,477,40,2024-10-01,3,Average quality. Nothing special about it.
1265,84,26,2023-12-23,5,Super comfortable jeans. Bought in two colours.
1266,320,46,2024-06-19,5,Great value for money. Highly recommend.
1267,418,47,2024-02-15,5,Perfect fit. The material feels premium.
1268,444,8,2023-11-21,5,Fits perfectly. Very happy with the purchase.
1269,150,45,2023-06-10,2,Product looks different from the photo online.
1270,226,14,2024-03-02,5,Excellent product. Myntra never disappoints.
1271,459,46,2024-04-26,1,The color faded after first wash. Very disappointing.
1272,206,39,2024-02-24,4,Delivery was quick and product is exactly as described.
1273,380,1,2024-05-02,4,Great value for money. Highly recommend.
1274,478,32,2023-04-03,3,Decent product but could be better for the price.
1275,333,3,2023-07-31,4,Fast delivery and great packaging.
1276,341,34,2023-04-03,2,Size runs small. Return process is very difficult.
1277,494,21,2023-09-08,5,Fast delivery and great packaging.
1278,7,2,2023-09-23,4,Beautiful design. Exactly as shown in the photo.
1279,149,9,2023-11-21,1,Delivery was very late. Poor experience.
1280,420,10,2024-07-20,5,Amazing quality! Totally worth the price.
1281,139,49,2023-07-30,5,Fast delivery and great packaging.
1282,429,8,2023-03-13,5,Excellent product. Myntra never disappoints.
1283,483,28,2024-02-10,4,Super comfortable jeans. Bought in two colours.
1284,330,28,2023-03-05,2,Material feels cheap. Not worth the price at all.
1285,217,33,2023-03-23,5,Excellent product. Myntra never disappoints.
1286,415,23,2024-09-03,4,Amazing quality! Totally worth the price.
1287,217,26,2024-12-06,2,Customer support was unhelpful when I raised an issue.
1288,132,21,2024-03-10,4,Fast delivery and great packaging.
1289,298,21,2023-10-04,3,Average quality. Nothing special about it.
1290,53,7,2023-10-22,1,Quality is below average. Not what I expected.
1291,54,15,2024-10-30,5,Fits perfectly. Very happy with the purchase.
1292,324,7,2023-09-05,5,Excellent product. Myntra never disappoints.
1293,24,41,2024-12-01,5,Amazing quality! Totally worth the price.
1294,232,48,2023-11-25,4,Beautiful design. Exactly as shown in the photo.
1295,8,18,2023-08-21,4,Fast delivery and great packaging.
1296,146,32,2024-10-16,2,Customer support was unhelpful when I raised an issue.
1297,191,42,2023-08-17,4,Super comfortable jeans. Bought in two colours.
1298,245,3,2024-09-09,5,Delivery was quick and product is exactly as described.
1299,429,16,2024-01-07,2,Stitching came off within a week. Terrible quality.
1300,3,37,2023-09-18,1,The jeans are too tight at the waist. Sizing is off.
1301,168,40,2024-06-14,3,Decent product but could be better for the price.
1302,378,40,2023-01-19,4,Delivery was quick and product is exactly as described.
1303,481,23,2024-11-03,4,Delivery was quick and product is exactly as described.
1304,35,34,2024-05-29,1,Customer support was unhelpful when I raised an issue.
1305,485,14,2024-02-11,4,Loved the fabric and the fit. Will buy again.
1306,40,28,2023-10-22,5,Delivery was quick and product is exactly as described.
1307,19,45,2023-10-03,5,Fast delivery and great packaging.
1308,457,40,2024-10-23,5,Beautiful design. Exactly as shown in the photo.
1309,202,33,2023-02-25,1,Material feels cheap. Not worth the price at all.
1310,421,8,2024-11-14,5,Fast delivery and great packaging.
1311,77,50,2024-07-21,4,Delivery was quick and product is exactly as described.
1312,169,25,2023-07-09,5,Loved the fabric and the fit. Will buy again.
1313,427,14,2024-12-26,4,Loved the fabric and the fit. Will buy again.
